Area,Norma,Requisito,Estado,Evidencia,Cómo cumplir / cómo refactorizar,Prioridad
Micro‑servicios,ISO/IEC 25000,"TLS entre micro‑servicios",Parcial,"Sólo NGINX expone TLS; los micro‑servicios se comunican por HTTP interno.","Configurar mutual TLS entre contenedores o usar service-mesh ligero que proporcione mTLS",Alta
Base de datos,LFPDPPP,"Cifrado en reposo de objetos (S3/pgvector)",Parcial,"core_backend/mole_ai_backend/settings.py:221-229 (config S3 sin cifrado forzado)","Habilitar SERVER_SIDE_ENCRYPTION en bucket S3 y cifrado en MinIO",Media
Base de datos,LFPDPPP,"Retención y borrado seguro (soft-delete, política de expiración)",Parcial,"core_backend/apps/authentication/models.py:63-66 (soft-delete timestamps)","Definir política de retención (2 años) y job Celery de purga",Media
Base de datos,ISO/IEC 25000,"Pruebas de migraciones y rollbacks",No cumple,"No se encontró test de migración.","Añadir tests/test_migrations.py que apliquen y reviertan migrations contra base temporal",Alta
Base de datos,ISO/IEC 25000,"Índices y consultas optimizadas",Parcial,"Sin evidencia de índices en tabla sensor_log.","Analizar query plan y crear índices (CREATE INDEX ON sensor_log (plant_id, ts));",Media
Base de datos,MoproSoft,"Documentación del proceso de cambios de esquema (versión y revisión)",Parcial,"Solo migrations; no hay documentación del flujo.","Documentar proceso de cambios de esquema en docs/processes/db-change-management.md",Media
Infra‑software,LFPDPPP,"Enmascarado de query strings y cabecera HSTS",Parcial,"infrastructure/nginx/nginx.conf:13 (comentario)","Descomentar add_header Strict-Transport-Security y excluir $query_string del log_format",Media
Infra‑software,ISO/IEC 25000,"Hardening de imágenes Docker (usuario non-root)",Parcial,"Dockerfiles no definen USER.","Añadir USER appuser y eliminar paquetes de compilación (gcc, make)",Alta
Infra‑software,ISO/IEC 25000,"Uso de variables de entorno en lugar de rutas fijas",Parcial,"Rutas estáticas en NGINX (/usr/share/nginx/html).","Reemplazar por variables (${NGINX_STATIC_ROOT}) definidas en docker-compose.yml",Media
Infra‑software,MoproSoft,"Gestión centralizada de secretos y configuración",Parcial,".env y .env.example distribuidos sin herramienta de gestión.","Adoptar HashiCorp Vault o dotenv-vault, migrar variables sensibles al secrets manager",Media
Infra‑software,ISO/IEC 25000,"Logs estructurados y correlacionables",Parcial,"Comentario en core_backend/apps/authentication/views.py sin uso de structlog.","Integrar structlog en todos los módulos con campos request_id, user_id, event, enviar a stdout",Media
CI/CD,MoproSoft,"Pipeline automatizado (build → test → deploy)",No cumple,"No existe workflow en .github/workflows/.","Crear ci.yml con stages: lint → unit → integration → coverage → Docker build → push → despliegue a staging",Alta
CI/CD,MoproSoft,"Análisis estático (lint, type‑checking)",Parcial,"pyrightconfig.json presente pero no ejecutado en CI.","Añadir paso pyright al workflow y fallar en errores",Media
CI/CD,ISO/IEC 25000,"Pruebas de carga y estrés",No cumple,"No hay scripts de carga (Locust).","Implementar locustfile.py y ejecutarlo como stage de load test en CI",Alta
CI/CD,ISO/IEC 25000,"Scanning de vulnerabilidades de dependencias (SCA)",No cumple,"No hay Dependabot, Snyk o similares.","Activar Dependabot alerts y añadir paso snyk test al workflow",Alta
CI/CD,MoproSoft,"Cobertura mínima del 80 %",Parcial,"Cobertura actual ≈68 % (medida local).","Añadir coverage run/xml al CI, configurar fail‑under = 80",Media
CI/CD,ISO/IEC 25000,"Tests de regresión UI (Cypress)",No cumple,"No existen tests end‑to‑end para la UI.","Crear carpeta frontend/e2e/ con pruebas Cypress que cubran login, banner, consentimiento, envío de datos",Media
Documentación & Políticas,MoproSoft,"Guía de arquitectura con sección LFPDPPP",Parcial,"docs/system/04-arquitectura-del-sistema.md existe pero no incluye apartado de política de datos.","Añadir sección “Política de protección de datos (LFPDPPP)”",Media
Documentación & Políticas,LFPDPPP,"Política de retención de datos personales",Parcial,"docs/system/02-requisitos.md:62-63 menciona retención de 30 días en S3, pero no está formalizada.","Redactar docs/policy/data-retention.md con descripción de tiempo de retención, método automático de eliminación, referencia en arquitectura",Alta
Documentación & Políticas,ISO/IEC 25000,"Manual de usuario (UX)",No cumple,"No existe user‑manual.md.","Crear docs/user-manual.md con guías paso‑a‑paso, capturas de pantalla del banner y flujo de consentimiento",Media
Documentación & Políticas,MoproSoft,"CHANGELOG y versionado de releases",No cumple,"No existe CHANGELOG.md.","Iniciar CHANGELOG.md siguiendo keep‑a‑changelog y actualizar en cada release",Baja
Documentación & Políticas,MoproSoft,"ADRs (Architecture Decision Records) para decisiones críticas",Parcial,"Sólo un ADR presente en skills-main/docs/adr/0001‑explicit‑setup‑pointer‑only‑for‑hard‑dependencies.md.","Completar ADRs para decisiones de arquitectura relevantes (uso de JWT, política de anonimización, hardening de Docker, etc.)",Media
